id,source,predicted_relevance,predicted_stage,intent,human_agree,text
appstore-13421569697,App Store,core,Album vs. Main Library Disconnection,Find document / receipt / proof,YES,App will try to force you into buying more storage: Installed the app to access a shared photo album and Google decides to automatically backup all my photos and then complains about not having enough data so they can spam ads for more storage. Please don’t steal my photos automatically. At least ask permission first.
gplay-341c4872,Play Store,core,Face Recognition & Pet Grouping Errors,Find pet/animal photos,NO,can't uninstall. 0 stars. download Boycat and type in google to the search and it'll tell you all the horrid stuff they do. Degoogle!!✊
appstore-14538098774,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,"Basically spyware: If you want to only share some photos, this is a terrible choice. Googles Web UI is the only way to use this app without granting the company unrestricted access to everything your phone camera sees 24/7."
gplay-9df12a49,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"Very essential for any one,I like this app.."
gplay-830bcd62,Play Store,core,Face Recognition & Pet Grouping Errors,Find pet/animal photos,YES,"***Update May, 2026 **** Why, oh why did the Photos team feel it necessary to completely change the layout and search capabilities in this once great application?!?! The screen is now polluted with a new search bar that only serves to COVER the photos I'm looking for. Is this one more example of Google's AI takeover, resulting in more frustration. Google; Please don't treat us mere humans as children. Today's world of making everything 'easier' serves only to make the population dumber. 5 to 3"
gplay-84b97604,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,Missing me crop perspective documents and align
appstore-14127989526,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,"Piorado pelo celular: Aparentemente a versão para ios é muito mais lenta e o layout muda muitas vezes, isso atrapalha a experiência"
gplay-5f322a37,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find photos from specific time/year,YES,"I have always loved the photos app and pixel camera features, but the latest update to photos changed the layout and ease of use of the editing features and it's pretty terrible. . . I also can't find how to remove the new 'Ask' feature; the classic search was very accurate and reliable and this new 'Ask' option sucks."
gplay-e4752daf,Play Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,"perspective tool gone, one of key features. Don't need AI tools, need perspective tool. Time to search for alternative photo apps."
appstore-14396593833,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,Unhappy: Of all the apps I have a subscription for this app is the one that always gives me problems never collecting their payment on time
gplay-e5154a82,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find specific person / family member,NO,I have used this for years and love it. But for some reason now my search bar is gone.
gplay-97885b6d,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,like using the app but the constant nagging to use their back up service gets old and always comes back after an update. No means No!
gplay-b4196ceb,Play Store,core,Search Retrieval Failure (Zero Results Found),Find specific visual memory,YES,Actually I need help. I can't find any of my media form the last 2 weeks maybe... I don't know how. Please can I get help getting them back
gplay-f035c8ab,Play Store,core,Inability to Refine / Multi-Condition Queries,Find specific visual memory,YES,It works great takes care of your pictures sometimes it'll sort them out for you but it knows a good time You can make your pictures up cuz I can kind of different things you can do on it
gplay-ea427025,Play Store,core,Face Recognition & Pet Grouping Errors,Find specific person / family member,NO,"Edit June 2026: It's now making you select your face and you can't dismiss the giant nag box at the top telling you to. I don't mind face grouping as it is convenient, but I don't want to label faces or specifically tell Google what is my face. It seems this is required now. Also, face grouping is now apparently AI-driven? It worked fine before without a slop machine powering it. Get out of here with your bs."
gplay-42f10d07,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,NO,I recommend this app. you can backup ur photos easily
gplay-33a59c6d,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,I like it because it reserves memories of all of my Love 💓 Ones.
gplay-b5f55134,Play Store,core,Face Recognition & Pet Grouping Errors,Find pet/animal photos,YES,Maine multiple time photos upload kar rakha hai isme duplicate file ka bhi option hona chahiye ..
gplay-21a260b6,Play Store,core,Face Recognition & Pet Grouping Errors,Find specific person / family member,YES,I have been using the face grouping feature for years. but i discovered the face grouping has disappeared. I clicked in search and it's telling me to turn on the face grouping option. really dissapointing
gplay-4d7c65e1,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,"I like the Google photos all the way, it's very interesting and reliable way that your pictures is highly documented."
gplay-305517b7,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,i wish i could replace this with a custom app. this is bloatware.
gplay-ac049b01,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"While using an Android phone, Google Photos is the best. And I honestly love the little different filters and stickers."
gplay-c4821581,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find photos from specific time/year,YES,"from new update photo editor is lagging and to slow observed many software glitch Great app but after the recent updates, whenever I edit my photos the app keeps crashing. I hope you fix that issue and add more useful features. Maybe you can add a much better portrait photo option than whatever we have now. Note: Hey guys, after the recent update I couldn't find an option to reduce my pictures (Portrait blur) amount. So, put your magic there too."
gplay-d02f67a9,Play Store,core,Album vs. Main Library Disconnection,Locate photos in album / folder,YES,photos and albums and locked folder do not show up in the app aven after reinstall everything works on browser but not in the app
gplay-2a7ce0e4,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find document / receipt / proof,YES,"edit: I fixed the problem, used an apk to download version 7.90! the last update to the UI has made this app unusable. I cant find any of the photos im looking for, things are no longer grouped by date, some photos dont show up at all in the main grid and now i have to dig in collections to find them, theres so many more issues too. the app worked amazingly before this update, I will look into downloading an older version and recommend others do the same or avoid updating if you havent yet"
gplay-197ea070,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,I cant get mine to open something keeps popping up
gplay-52a40f1f,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find specific screenshot or downloaded image,YES,those screenshots are at another folder under collection so it is not in the main page of showing according to the date that's not good.
gplay-dd5fbb3a,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,good service but food was kind of disappointing
appstore-14421199042,App Store,core,Vague Memory & Natural Language Breakdown,Find document / receipt / proof,YES,Forces Extra Storage Purchasing: Uses an obscene amount of storage in your google account then makes you purchase extra storage to access actual important things like your email. Absolutely ridiculous that there’s not an option to either remove Google Photos from your google account or only delete pictures in the app without deleting them on the iPhone gallery.
gplay-694e527e,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,my very use full for my usess photos thiss app a b c all
gplay-fb5b89c1,Play Store,core,Search Retrieval Failure (Zero Results Found),Find document / receipt / proof,YES,"The search function is garbage now. Keywords that I used to search for pictures that would bring back hundreds of pics, including the ones I was looking for, now bring ""No Results."" Why did you break it like this?"
gplay-9b0d3c12,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"new way thru Fiji printing is nightmare. web page hard to use, printvquality of photos was almost dark black on every photo, poor customer service and I passed on to many people with no resolutions"
appstore-13007200659,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,"annoying to remove: if you delete the app, it’ll take up all your storage on your MacBook until you manually delete every photo you backed up… terrible"
gplay-574a7359,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,Uses mobile data can't view pictures if you don't have data
gplay-f206bc0d,Play Store,core,Face Recognition & Pet Grouping Errors,Find pet/animal photos,YES,"They removed one of the best features. you can no longer search for things like ""dogs"" and get images of dogs. More Ensh@tification from Google"
gplay-2acd865f,Play Store,core,Ask Photos / Gemini AI Regressions,Find document / receipt / proof,YES,way down in quality. I can't even search my photos because the stupid Gemini doesn't work right. get rid of this AI BS! I want my search bar back to what it originally was so that I can actually find the photos I'm looking for the search bar with the recent updates does not work and cannot find photos I am looking for like the other search bar did.
gplay-4e79c805,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"likes to turn on randomly and upload photos. I'm currently seeing the settings off, and it doesn't allow to delete the upload without deleting it from your device as well"
gplay-aadc5492,Play Store,core,Search Query Visual Clutter (Irrelevant Memes & Noise),Find document / receipt / proof,YES,even though I paid for the cloud I get messages that my cloud is not backing up. I cannot find any support for the problem at all. they appear to have changed the way my photos in the cloud display and I don't like it. I can't find photos that I'm looking for. they claim it simpler but it was simply enough already. I used to like Google and recommend them but not anymore. dumb it down for those of us who don't want to go to college to learn how to look at pictures
gplay-a1004b26,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,so beautiful ❤️❤️❤️ so Great 👍👍👍👍👍👍👍👍👍👍👍👍 8
gplay-ff7858a3,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,Very very best and photo update this absolutely Google photos veri nice
gplay-72f3ab63,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,bohat achi app ha Jo be AP ke pick delete how jaty ha vi is ma mill jaty ha.✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨
gplay-46c889f0,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,The last update took photos from a great experience to a real frustration. Removing a few spots from a photo used to be fast and easy.... now it's slow and hard to select a small area. Correcting the perspective of a photo to get documents aligned quickly used to be fast and easy.... now that functionality is gone altogether? I find myself using the app less frequently for editing because of these changes.
gplay-42b0e6c9,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,NO,Some photos randomly have a larger thumbnail in the main gallery view. This is very annoying and makes it impossible to see the photos in a chronological view. Please make an option to turn this off.
gplay-b9437486,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find document / receipt / proof,YES,"the new update has changed the search option.. before it used to have the dates on the search results for eg. videos, and they were layered out in sequence. now, when you search for a specific video, it's all layered out in one continuous format with no details of date, etc. I think the previous layout was better.. this update does not separate the photos or videos that are searched in a monthly sequence."
gplay-8d4f5ad3,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,just living life to the fullest one day at a time ?
gplay-e627e063,Play Store,core,Search Retrieval Failure (Zero Results Found),Find specific visual memory,YES,well up till now it was excellent!! But recently I noticed that while editing photos there was an option called AI enhance which was so cool btw. Now gone!!! I can't find it anywhere.
gplay-7a2cdb4d,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"Handy to have but it also pays to have more than one form of backup. The ads you see claiming to retrieve deleted files or pictures don't work, you can't do it with this app either"
gplay-3c468637,Play Store,core,Search Query Visual Clutter (Irrelevant Memes & Noise),Find document / receipt / proof,YES,"i want to backup specified device folder but why did DCIM/screenshot folder no where to be found, we have this artificial ""Screenshot"" which auto add wrong picture instead??? make it make sense!!"
community-268081438,Google Photos Community,core,Vague Memory & Natural Language Breakdown,Find photos from specific time/year,YES,Problem with you Google lens search Community forum - Google Photos 4/7/2024 - Problem with you Google lens search. Am recently upgraded my phone and i try to use google lens for searching and its showing error... I try to use lens option ...
gplay-b907132b,Play Store,core,Album vs. Main Library Disconnection,Find specific person / family member,NO,"Google Photos has been an amazing experience for storing and managing my memories. The app is smooth, user-friendly, and offers excellent cloud backup with smart organization features. I really love how easily I can search photos by people, places, and events. The editing tools are simple yet powerful, and sharing albums with friends and family is very convenient. Overall, it’s one of the best photo storage apps I’ve used — reliable, fast, and extremely helpful. Highly recommended! ⭐⭐⭐⭐⭐"
gplay-84ae4ee1,Play Store,core,Ask Photos / Gemini AI Regressions,Find document / receipt / proof,YES,"search feature no longer usable after AI update. Always says ""I can't help with that"". I hate AI!!! give my search feature back. I've always used pixel phones but am happy to switch to a dumb phone to avoid AI being crammed everything."
appstore-14558983275,App Store,core,Video Content & In-Video Action Search,Find document / receipt / proof,YES,G-photos: One pics ( of myself) nothing to do with video). No évident removal ..
gplay-df4e5fb0,Play Store,core,Inability to Refine / Multi-Condition Queries,Find specific visual memory,YES,It's hard to manage photos when the photos are sorted by their metadata only. Please add an option to 'Sort photos by title/file names'
gplay-24670545,Play Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,"I love Google Photos! The backup feature is very helpful, and searching for photos is fast and accurate. Great app for managing memories"
gplay-e4ac0f1b,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,successful i really enjoy this application
gplay-1c3b1e23,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,NO,Tap on a clip to paste it in the text box.
gplay-17843b28,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"traide to get back, my info, fotos videos"
gplay-47e467b1,Play Store,core,Ask Photos / Gemini AI Regressions,Find specific person / family member,YES,It was a good solution—until they ruined it with Gemini. The search features are trash. The editing tools are now optimized for AI control and not user interaction. They have gone from fluid and user friendly to a disaster of tools that incorrectly try to use themselves. Get rid of automation and give me back the legacy app.
gplay-9511c33d,Play Store,core,Vague Memory & Natural Language Breakdown,Find photos from specific time/year,YES,nice one 👍 👌 👏 I like it it is so useful app and it will itself create like a gif and give it in a different titles i like it so much I will find old photos to memory but now I need not worry to that it will itself give us a gif and we can put in status Instagram youtube and so on you ok that solve bye 😀
gplay-393c5291,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,sabse ghatya hai Googlephoto b.c 6 day se download ho raha hai sab photos device me speed nahi hai
gplay-086dd07d,Play Store,core,Album vs. Main Library Disconnection,Find specific person / family member,YES,Why have all my albums disappeared after updating? So frustrated. Cannot find my family medical records in the albums.
appstore-13432382351,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,Suppression de photos: Google photos devrait nous laisser choisir de supprimer ou pas une photo sur tous les supports quand on la supprime de Google photos
gplay-54243ebd,Play Store,core,Face Recognition & Pet Grouping Errors,Find pet/animal photos,YES,"Terrible....It's too complex. Google makes it impossible to move photos around and organize anything. You end up losing photos in the process. They need to make it simpler. Its absolutely ridiculous. You cant move photos from photos tab to device folders. You can't move device folder photos to albums without losing the photos when you try to delete them from device folders, to prevent duplicates... Make it easier for people , it's not that hard Google."
gplay-119d8bc7,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find specific person / family member,YES,"I do not want my personal photos training ai, being edited by ai, or interacting with ai in any capacity, that would be unbelievable terrible considering I've token photos of personal documents and of myself and I don't want my identity scraped and used by some corporate ai"
appstore-10587251245,App Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find specific person / family member,YES,Forced installation: 1 star for making it required by removing access to Google Photos on mobile web with no reason. Made me seriously reconsider the use of their service as I can’t predict if I would be able to access my photos in a few years without any new stupid limitations from their side.
appstore-12319017156,App Store,core,Vague Memory & Natural Language Breakdown,Find document / receipt / proof,YES,"Stupid and buggy: I turned off backup and the is still syncing my photos I am not enabling Sync from my camera roll, but no luck the app still uploads the photos I am running in an infinite loop this is really frustrating 🙂"
gplay-d121564f,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,lines now appear across every picture when using unblur feature
gplay-cee51f75,Play Store,core,Hidden & Archived Folder Search Blindness,Locate photos in album / folder,YES,Easy to use and love that locked folder to keep some photos secret
gplay-e47c2f04,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,it is too difficult to open my google photos please
gplay-368e9bf6,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"Google photos has always been an amazing gallery app, especially for the memories and moments. But I can't get over the fact that they made all the music in memories, vocal music and I can't change it"
gplay-a35d358d,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,some people do without permission I'm not a casting
appstore-14396852674,App Store,core,Vague Memory & Natural Language Breakdown,Find document / receipt / proof,YES,"AI scanning images: I liked this app. It worked well for the functionality, but genuinely why on earth are you using generative ai. Taking private pictures of me that i took for myself and making a generated ai version of me. I did not consent to my photos being taken without permission and ran through some software thats turning it into this ai cartoon image. I understand that images taken and saved to your platform may not be completely private, but using someones images without permission to create a fake art piece is completely inappropriate."
gplay-2946142a,Play Store,core,Search Query Visual Clutter (Irrelevant Memes & Noise),Find specific screenshot or downloaded image,YES,Worst performance in long screenshot.
gplay-f94e0b39,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,ye bohot hi mast aap hai maine apna phone change Kiya our usme apna gmail login Kiya aur mera photo document sab milgaya
